modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
BTWDS 6261 FR,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,,53.0,1151.0,52.0,C,0.11,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,INDESIT,42.0,26.0,4.0,4.9
PR149MKINVA,1350.0,FREE_STANDING,"[2025, 2, 11]",1350.0,9.0,B,32.0,23.0,53.0,60.0,85.0,,53.9,1350.0,51.9,A,,0.5,www.koncar-ka.hr,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,KONČAR,49.0,29.0,4.0,5.0
PR148MNINV,1350.0,FREE_STANDING,"[2025, 2, 11]",1350.0,8.0,B,38.0,24.0,48.0,60.0,85.0,,53.9,1350.0,51.9,A,1.0,0.5,www.koncar-ka.hr,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,KONČAR,47.0,29.0,4.0,5.0
WMTG 626BS IT,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,,53.0,1151.0,52.0,C,0.11,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,HOTPOINT/ARISTON,42.0,26.0,4.0,4.9
MFA06W90BA/W-ES,1351.0,BUILT_IN,"[2025, 2, 11]",1351.0,9.0,B,38.0,24.0,56.0,36.0,83.0,,53.9,1351.0,51.9,A,0.5,0.5,www.midea.es,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,Midea,49.0,30.0,4.0,5.0
OZ4 272DW3/1-S,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,7.0,B,37.0,25.0,45.0,24.0,85.0,,53.9,1151.0,68.9,C,1.0,0.5,https://corporate.haier-europe.com/en/,162.0,162.0,0.594,79.0,41.0,C,208.0,60.0,Zerowatt,59.0,32.0,4.0,4.9
LFR6284N4B 914913173,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,8.0,B,39.0,22.0,60.0,24.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914913173,160.0,155.0,0.471,74.0,43.0,A,205.0,60.0,AEG,47.0,30.0,4.0,4.9
FFB 9479 BV EE,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,9.0,B,35.0,24.0,63.0,24.0,85.0,,53.0,1351.0,46.7,C,0.5,0.5,https://docs.whirlpool.eu/,170.0,150.0,0.444,78.0,47.0,A,225.0,60.0,WHIRLPOOL,44.0,28.0,4.0,4.9
TDLR 6261BS EU/N,1151.0,FREE_STANDING,"[2025, 2, 10]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,,53.0,1151.0,52.0,C,0.11,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,WHIRLPOOL,42.0,26.0,4.0,4.9
WN84SEA1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,8.0,B,32.0,24.0,55.0,24.0,84.0,,53.9,1400.0,51.5,B,0.5,0.5,https://www.smeg.com/services/customer-service,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,SMEG,47.0,30.0,4.0,4.9
WM-FB8514W1ACZ,1330.0,FREE_STANDING,"[2025, 2, 10]",1330.0,8.0,B,37.0,22.0,53.0,24.0,85.0,0.0,53.4,1330.0,52.0,B,1.0,0.5,https://daewooelectronics.com/,168.0,168.0,0.473,76.0,48.0,A,218.0,60.0,DAEWOO,47.0,28.0,4.0,5.0
WNP84SEA1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,8.0,B,32.0,24.0,58.0,24.0,84.0,,53.9,1400.0,51.5,B,0.5,0.5,https://www.smeg.com/services/customer-service,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,SMEG,47.0,30.0,4.0,4.9
WN814SEA1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,8.0,B,32.0,24.0,55.0,24.0,84.0,,53.9,1400.0,51.5,B,0.5,0.5,https://www.smeg.com/services/customer-service,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,SMEG,47.0,30.0,4.0,4.9
WNP04SEAES1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,10.0,B,33.0,22.0,58.0,24.0,84.0,,53.9,1400.0,51.5,B,0.5,0.5,https://www.smeg.com/services/customer-service,173.0,173.0,0.509,75.0,51.0,A,228.0,60.0,SMEG,51.0,31.0,4.0,4.9
EWFI6194O2DA 914932083,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,9.0,B,33.0,26.0,66.0,0.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914932083,165.0,155.0,0.493,76.0,50.0,A,220.0,60.0,Electrolux,49.0,27.0,4.0,4.9
