modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness,onMarketStart_Year,onMarketStart_Month,onMarketStart_Day,price,currency
WT1210EEF,1350.0,FREE_STANDING,"[2024, 12, 12]",1350.0,12.0,A,30.0,25.0,66.0,24.0,166.0,2.0,44.9,1350.0,46.8,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180.0,160.0,0.49,72.0,57.0,A,240.0,60.0,LG Electronics,49.0,28.0,4.0,5.0,2024,12,12,3000,USD
F34X71WHST,1350.0,FREE_STANDING,"[2024, 12, 12]",1350.0,13.0,B,33.0,25.0,62.0,24.0,85.0,2.0,53.9,1350.0,31.2,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180.0,130.0,0.333,71.0,46.0,A,240.0,60.0,LG Electronics,33.0,27.0,4.0,5.0,2024,12,12,1000,USD
EFI953SY6S 914475614,1550.0,FREE_STANDING,"[2024, 12, 2]",1550.0,11.0,A,27.0,25.0,58.0,24.0,85.0,2.0,44.9,1550.0,41.4,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475614,179.0,160.0,0.422,76.0,51.0,A,239.0,60.0,Electrolux,42.0,27.0,4.0,4.9,2024,12,2,3500,USD
EW6FNE3482P 914931061,1351.0,FREE_STANDING,"[2024, 12, 2]",1351.0,8.0,B,39.0,22.0,58.0,24.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914931061,160.0,155.0,0.471,75.0,43.0,A,205.0,60.0,Electrolux,47.0,30.0,4.0,4.9,2024,12,2,2500,USD
EW7F4492QC 914496218,1351.0,FREE_STANDING,"[2024, 12, 2]",1351.0,9.0,B,35.0,23.0,66.0,24.0,85.0,2.0,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914496218,155.0,150.0,0.493,75.0,46.0,A,220.0,60.0,Electrolux,49.0,33.0,4.0,4.9,2024,12,2,3500,USD
EW7FEU5692QP 914475207,1550.0,FREE_STANDING,"[2024, 12, 2]",1550.0,9.0,A,27.0,24.0,64.0,24.0,85.0,2.0,44.9,1550.0,46.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475207,173.0,170.0,0.443,72.0,48.0,A,225.0,60.0,Electrolux,44.0,29.0,4.0,4.9,2024,12,2,3500,USD
WGB254AYPL,1400.0,FREE_STANDING,"[2024, 12, 1]",1400.0,10.0,B,30.0,23.0,65.0,24.0,85.0,2.0,53.0,1400.0,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175.0,165.0,0.304,71.0,48.0,A,235.0,60.0,Bosch,30.0,25.0,4.0,5.0,2024,12,1,999.99,USD
L6SE74BB 914343170,1351.0,FREE_STANDING,"[2024, 12, 1]",1351.0,7.0,B,46.0,23.0,49.0,24.0,84.0,,53.3,1351.0,59.7,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343170,160.0,145.0,0.515,75.0,45.0,B,205.0,60.0,AEG,52.0,28.0,4.0,4.9,2024,12,1,3000,USD
WTL360,1151.0,FREE_STANDING,"[2024, 11, 30]",1151.0,6.0,B,40.0,25.0,60.0,24.0,90.0,0.0,53.0,1151.0,59.9,C,0.11,0.11,www.beko.ro,155.0,140.0,0.485,79.0,43.0,B,195.0,40.0,Beko,48.0,27.0,4.0,4.9,2024,11,30,1500,USD
BTL1WFP10724ES 859991697860,1151.0,FREE_STANDING,"[2024, 11, 30]",1151.0,7.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,79.9,C,0.11,0.11,www.beko.ro,160.0,150.0,0.6890000000000001,78.0,45.0,D,205.0,40.0,Beko,69.0,36.0,4.0,4.9,2024,11,30,3000,USD
WTL370,1151.0,FREE_STANDING,"[2024, 11, 30]",1151.0,7.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,79.9,C,0.11,0.11,www.beko.ro,160.0,140.0,0.6890000000000001,78.0,45.0,D,205.0,40.0,Beko,69.0,36.0,4.0,4.9,2024,11,30,3000,USD
F4WX859Y,1350.0,FREE_STANDING,"[2024, 11, 27]",1350.0,9.0,B,28.0,25.0,57.0,24.0,85.0,2.0,53.9,1350.0,36.4,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,174.0,135.0,0.346,71.0,50.0,A,228.0,60.0,LG Electronics,35.0,27.0,4.0,5.0,2024,11,27,2500,GBP
EW8F569QC 914485201,1600.0,FREE_STANDING,"[2024, 11, 25]",1600.0,9.0,A,31.0,24.0,58.0,24.0,85.0,2.0,44.9,1600.0,46.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914485201,170.0,160.0,0.443,72.0,46.0,A,228.0,60.0,Electrolux,44.0,25.0,4.0,4.9,2024,11,25,3500,USD
EW6FI3814RA 914931049,1351.0,FREE_STANDING,"[2024, 11, 25]",1351.0,8.0,B,39.0,22.0,58.0,0.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914931049,160.0,155.0,0.471,75.0,43.0,A,205.0,60.0,Electrolux,47.0,30.0,4.0,4.9,2024,11,25,3000,USD
LFR61G814O 914913171,1351.0,FREE_STANDING,"[2024, 11, 25]",1351.0,8.0,B,39.0,22.0,58.0,0.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914913171,160.0,155.0,0.471,74.0,43.0,A,205.0,60.0,AEG,47.0,30.0,4.0,4.9,2024,11,25,3500,USD
EW9F568WCC 914485401,1600.0,FREE_STANDING,"[2024, 11, 25]",1600.0,8.0,A,25.0,22.0,58.0,24.0,85.0,2.0,44.9,1600.0,36.2,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914485401,165.0,125.0,0.329,72.0,44.0,A,215.0,60.0,Electrolux,33.0,24.0,4.0,4.9,2024,11,25,3000,USD
YFI8D53Y4Q 914475516,1400.0,FREE_STANDING,"[2024, 11, 25]",1400.0,11.0,B,29.0,26.0,64.0,24.0,85.0,2.0,53.9,1400.0,44.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475516,179.0,179.0,0.449,72.0,51.0,A,239.0,60.0,Electrolux,45.0,28.0,4.0,4.9,2024,11,25,3000,USD
LTR7E70269 913143788,1151.0,FREE_STANDING,"[2024, 11, 25]",1151.0,6.0,B,43.0,25.0,60.0,24.0,90.0,,53.9,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143788,155.0,155.0,0.484,78.0,43.0,B,197.0,40.0,AEG,48.0,34.0,4.0,4.9,2024,11,25,3000,USD
BTL1WFP10724 859991696410,1151.0,FREE_STANDING,"[2024, 11, 24]",1151.0,7.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,79.9,C,0.11,0.11,www.beko.ro,160.0,150.0,0.6890000000000001,78.0,45.0,D,205.0,40.0,Beko,69.0,36.0,4.0,4.9,2024,11,24,771.56,GBP
BTL1WFP10724PL 859991696400,1151.0,FREE_STANDING,"[2024, 11, 24]",1151.0,7.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,79.9,C,0.11,0.11,www.beko.ro,160.0,150.0,0.6890000000000001,78.0,45.0,D,205.0,40.0,Beko,69.0,36.0,4.0,4.9,2024,11,24,3000,USD
BM3WFU31041R 7004240024,1351.0,FREE_STANDING,"[2024, 11, 22]",1351.0,10.0,B,33.0,22.0,58.0,24.0,85.0,0.0,53.9,1351.0,51.5,B,0.5,0.5,http://support.beko.com,173.0,173.0,0.509,75.0,51.0,A,228.0,60.0,Beko,51.0,31.0,4.0,4.9,2024,11,22,16191,USD
BM3WFU49415WDC 7004840066,1400.0,FREE_STANDING,"[2024, 11, 20]",1400.0,9.0,B,34.0,24.0,55.0,24.0,85.0,0.0,53.9,1400.0,51.5,B,0.5,0.5,http://support.beko.com,173.0,173.0,0.49,75.0,49.0,A,228.0,60.0,Beko,49.0,28.0,4.0,4.9,2024,11,20,15000,USD
LR944PX6S 914501243,1500.0,FREE_STANDING,"[2024, 11, 18]",1550.0,10.5,A,26.0,24.0,64.0,24.0,85.0,2.0,44.9,1550.0,41.4,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914501243,175.0,165.0,0.416,76.0,47.0,A,238.0,60.0,AEG,42.0,26.0,4.0,4.9,2024,11,18,6999.00,USD
EW7FG4492UC 914496217,1351.0,FREE_STANDING,"[2024, 11, 18]",1351.0,9.0,B,35.0,23.0,66.0,24.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914496217,155.0,150.0,0.493,75.0,46.0,A,220.0,60.0,Electrolux,49.0,33.0,4.0,4.9,2024,11,18,3000,USD
WGE0340CNL,1400.0,FREE_STANDING,"[2024, 11, 15]",1400.0,8.0,B,37.0,23.0,63.0,24.0,85.0,,53.0,1400.0,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160.0,140.0,0.461,72.0,47.0,A,213.0,60.0,Bosch,46.0,27.0,0.55,5.0,2024,11,15,591,GBP
WGE0340SNL,1400.0,FREE_STANDING,"[2024, 11, 15]",1400.0,8.0,B,37.0,23.0,63.0,24.0,85.0,,53.0,1400.0,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160.0,140.0,0.461,72.0,47.0,A,213.0,60.0,Bosch,46.0,27.0,0.55,5.0,2024,11,15,670,GBP
BTL1WFP10724AT 859991697870,1151.0,FREE_STANDING,"[2024, 11, 10]",1151.0,7.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,79.9,C,0.11,0.11,www.beko.ro,160.0,150.0,0.6890000000000001,78.0,45.0,D,205.0,40.0,Beko,69.0,36.0,4.0,4.9,2024,11,10,3500,USD
BM1WFU36235WBPBDC 7004540005,1151.0,FREE_STANDING,"[2024, 11, 8]",1151.0,6.0,B,35.0,23.0,45.0,24.0,85.0,,53.9,1151.0,59.5,B,0.5,0.5,http://support.beko.com,155.0,155.0,0.482,74.0,43.0,B,197.0,60.0,Beko,48.0,24.0,4.0,4.9,2024,11,8,3000,USD
EWY51223CB 913135722,1151.0,FREE_STANDING,"[2024, 11, 4]",1151.0,6.0,B,44.0,23.0,60.0,0.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913135722,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,Electrolux,48.0,30.0,4.0,4.9,2024,11,4,3000,USD
EWQ6412B 913135721,1151.0,FREE_STANDING,"[2024, 11, 4]",1151.0,6.0,B,44.0,23.0,60.0,0.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913135721,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,Electrolux,48.0,30.0,4.0,4.9,2024,11,4,3500,USD
WGB2560H0,1600.0,FREE_STANDING,"[2024, 11, 1]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,11,1,778.26,GBP
WAN28199PL,1400.0,FREE_STANDING,"[2024, 11, 1]",1400.0,8.0,B,37.0,23.0,63.0,24.0,85.0,,53.0,1400.0,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160.0,140.0,0.461,71.0,47.0,A,213.0,60.0,Bosch,46.0,27.0,0.55,5.0,2024,11,1,3000,USD
WGB2540CCH,1400.0,FREE_STANDING,"[2024, 11, 1]",1400.0,10.0,B,30.0,23.0,65.0,24.0,85.0,2.0,53.0,1400.0,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175.0,165.0,0.304,71.0,48.0,A,235.0,60.0,Bosch,30.0,25.0,4.0,5.0,2024,11,1,3000,USD
WM232 457100000002,1351.0,FREE_STANDING,"[2024, 10, 30]",1351.0,12.0,B,34.0,25.0,63.0,24.0,85.0,0.0,53.8,1351.0,51.5,C,0.5,0.5,http://support.beko.com,179.0,179.0,0.539,77.0,56.0,A,239.0,60.0,Beko,54.0,30.0,4.0,4.9,2024,10,30,13.59,GBP
BM3WFU412415W 457100009600,1351.0,FREE_STANDING,"[2024, 10, 30]",1351.0,12.0,B,34.0,25.0,63.0,24.0,85.0,0.0,53.8,1351.0,51.5,C,0.5,0.5,http://support.beko.com,179.0,179.0,0.539,77.0,56.0,A,239.0,60.0,Beko,54.0,30.0,4.0,4.9,2024,10,30,2999,USD
EW9F710GCY 914475613,1351.0,FREE_STANDING,"[2024, 10, 28]",1351.0,10.0,B,25.0,25.0,64.0,24.0,85.0,2.0,53.9,1351.0,20.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475613,170.0,120.0,0.204,72.0,50.0,A,235.0,60.0,Electrolux,20.0,25.0,4.0,4.9,2024,10,28,3000,USD
LR734L96L 914501557,1551.0,FREE_STANDING,"[2024, 10, 28]",1551.0,9.0,B,35.0,23.0,64.0,24.0,85.0,,52.8,1551.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914501557,155.0,150.0,0.493,76.0,46.0,A,220.0,60.0,AEG,49.0,33.0,4.0,4.9,2024,10,28,3000,USD
L53260BG 913133403,1151.0,FREE_STANDING,"[2024, 10, 28]",1151.0,6.0,B,44.0,23.0,60.0,0.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133403,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,AEG,48.0,30.0,4.0,4.9,2024,10,28,689,GBP
L53266BL 913133402,1151.0,FREE_STANDING,"[2024, 10, 28]",1151.0,6.0,B,44.0,23.0,60.0,0.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133402,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,AEG,48.0,30.0,4.0,4.9,2024,10,28,3000,USD
LTR5N30260 913133400,1151.0,FREE_STANDING,"[2024, 10, 28]",1151.0,6.0,B,44.0,23.0,60.0,24.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133400,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,AEG,48.0,30.0,4.0,4.9,2024,10,28,3000,USD
LTR5N30268 913133401,1151.0,FREE_STANDING,"[2024, 10, 28]",1151.0,6.0,B,44.0,23.0,60.0,24.0,89.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133401,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,AEG,48.0,30.0,4.0,4.9,2024,10,28,609.99,GBP
F4WX801YB,1350.0,FREE_STANDING,"[2024, 10, 22]",1350.0,11.0,B,33.0,25.0,57.0,24.0,85.0,2.0,53.9,1350.0,30.8,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180.0,140.0,0.314,71.0,46.0,A,240.0,60.0,LG Electronics,31.0,26.0,4.0,5.0,2024,10,22,3000,USD
LSR6FS75260 914343117,1151.0,FREE_STANDING,"[2024, 10, 21]",1151.0,6.0,B,42.0,23.0,42.0,24.0,84.0,,53.5,1151.0,59.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343117,155.0,145.0,0.484,72.0,40.0,B,197.0,60.0,AEG,48.0,31.0,4.0,4.9,2024,10,21,609.99,GBP
LSR6E6264X 914343116,1151.0,FREE_STANDING,"[2024, 10, 21]",1151.0,6.0,B,42.0,23.0,42.0,0.0,84.0,,53.5,1151.0,59.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343116,155.0,145.0,0.484,72.0,40.0,B,197.0,60.0,AEG,48.0,31.0,4.0,4.9,2024,10,21,3000,USD
BTL1WFP10622DE 859991697010,1151.0,FREE_STANDING,"[2024, 10, 20]",1151.0,6.0,B,49.0,26.0,60.0,24.0,90.0,0.0,53.0,1151.0,59.9,C,0.11,0.11,www.beko.ro,155.0,140.0,8.05,79.0,45.0,B,195.0,40.0,Beko,48.0,36.0,4.0,4.9,2024,10,20,3000,USD
WGG244Z3FR,1351.0,FREE_STANDING,"[2024, 10, 17]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,,51.4,1351.0,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174.0,150.0,0.489,71.0,50.0,A,228.0,60.0,Bosch,49.0,27.0,0.6000000000000001,5.0,2024,10,17,2900,USD
WGG244F1FR,1351.0,FREE_STANDING,"[2024, 10, 17]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,,51.4,1351.0,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174.0,150.0,0.489,71.0,50.0,A,228.0,60.0,Bosch,49.0,27.0,0.6000000000000001,5.0,2024,10,17,789.50,GBP
WGG244ZSFR,1351.0,FREE_STANDING,"[2024, 10, 17]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,,51.4,1351.0,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174.0,150.0,0.489,71.0,50.0,A,228.0,60.0,Bosch,49.0,27.0,0.6000000000000001,5.0,2024,10,17,3000,USD
WGG244ZMFR,1351.0,FREE_STANDING,"[2024, 10, 17]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,,51.4,1351.0,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174.0,150.0,0.489,71.0,50.0,A,228.0,60.0,Bosch,49.0,27.0,0.6000000000000001,5.0,2024,10,17,667,GBP
WGB2541AFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,10.0,B,30.0,23.0,65.0,24.0,85.0,2.0,53.0,1400.0,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175.0,165.0,0.304,71.0,48.0,A,235.0,60.0,Bosch,30.0,25.0,4.0,5.0,2024,10,15,1209,GBP
WGB256AONL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,18.99,GBP
WGB256AMNL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,3000,USD
WGH2460XPL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,9.0,A,36.0,23.0,63.0,24.0,85.0,2.0,44.5,1600.0,51.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,172.0,172.0,0.493,73.0,50.0,A,220.0,60.0,Bosch,49.0,27.0,4.0,5.0,2024,10,15,899.00,USD
WGB2440WFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,71.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,1189.00,GBP
WGB256A6BY,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,1800,USD
WGB256ASNL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,74.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,1199,GBP
WGB244ABNL,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,71.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,3000,USD
WGB2441MFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,71.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,200,GBP
WGB244AAFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,71.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,2500,GBP
WGB25602CS,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,3000,GBP
WGB2560MNL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,1289.00,GBP
WGB2560WFG,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,74.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,1269.00,GBP
WGB2560SFG,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,1289.00,GBP
BM3WFU3841R 7004840072,1351.0,FREE_STANDING,"[2024, 10, 15]",1351.0,8.0,B,32.0,24.0,55.0,24.0,85.0,0.0,53.9,1351.0,51.5,B,0.5,0.5,http://support.beko.com,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,Beko,47.0,30.0,4.0,4.9,2024,10,15,3000,USD
WGB244AMNL,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,70.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,1259.00,GBP
WGB2440SFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,70.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,1209.00,GBP
WGB244ASFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,70.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,1259,GBP
WGB244ACNL,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,70.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,2900,GBP
WGB2560BNL,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,74.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,3399.00,GBP
WGB2440MNL,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,70.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,2499,GBP
WGB2440AFG,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,9.0,B,27.0,22.0,65.0,24.0,85.0,2.0,53.0,1400.0,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170.0,155.0,0.248,71.0,47.0,A,220.0,60.0,Bosch,25.0,24.0,4.0,5.0,2024,10,15,907.42,GBP
WGB2540BNL,1400.0,FREE_STANDING,"[2024, 10, 15]",1400.0,10.0,B,30.0,23.0,65.0,24.0,85.0,2.0,53.0,1400.0,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175.0,165.0,0.304,70.0,48.0,A,235.0,60.0,Bosch,30.0,25.0,4.0,5.0,2024,10,15,1239,USD
WGB2561AFG,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,74.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,56.92,USD
WGB25692BY,1600.0,FREE_STANDING,"[2024, 10, 15]",1600.0,10.0,A,30.0,23.0,65.0,24.0,85.0,2.0,43.5,1600.0,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179.0,170.0,0.354,72.0,48.0,A,237.0,60.0,Bosch,35.0,25.0,4.0,5.0,2024,10,15,437090,USD
WGG244Z8AT,1351.0,FREE_STANDING,"[2024, 10, 15]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,,51.4,1351.0,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174.0,150.0,0.489,70.0,50.0,A,228.0,60.0,Bosch,49.0,27.0,0.6000000000000001,5.0,2024,10,15,999.00,GBP
EW9F7417WCE 914475611,1351.0,FREE_STANDING,"[2024, 10, 14]",1351.0,10.0,B,25.0,25.0,64.0,24.0,85.0,2.0,53.9,1351.0,20.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475611,170.0,120.0,0.204,72.0,50.0,A,235.0,60.0,Electrolux,20.0,25.0,4.0,4.9,2024,10,14,2999,USD
