modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
LTR7EP1ECO 913143789,1151.0,FREE_STANDING,"[2025, 2, 17]",1151.0,6.0,B,43.0,25.0,60.0,24.0,90.0,1151.0,59.8,C,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143789,155.0,155.0,0.484,78.0,43.0,B,197.0,40.0,AEG,48.0,34.0,4.0,4.9
SWET-610-W13,1000.0,FREE_STANDING,"[2025, 2, 17]",1000.0,6.0,D,44.0,27.0,45.0,24.0,84.0,1000.0,91.0,C,0.5,www.smithbrown.pl,156.0,156.0,0.737,78.0,43.0,E,198.0,60.0,Smith&Brown,74.0,36.0,4.0,5.0
TFWM1014AW,1330.0,FREE_STANDING,"[2025, 2, 15]",1330.0,10.0,B,41.0,25.0,58.0,24.0,85.0,1330.0,52.0,C,0.5,http://vestel-france.fr/fr/,180.0,180.0,0.514,77.0,52.0,A,239.0,60.0,TELEFUNKEN,51.0,27.0,4.0,5.0
OZS292DW4-S,1151.0,FREE_STANDING,"[2025, 2, 14]",1151.0,9.0,B,39.0,26.0,54.0,24.0,85.0,1151.0,59.9,C,0.5,https://manuals.he.services/,174.0,174.0,0.5700000000000001,77.0,46.0,B,228.0,60.0,Zerowatt,57.0,32.0,4.0,4.9
FP8WH2PT,1350.0,FREE_STANDING,"[2025, 2, 13]",1350.0,8.0,B,36.0,24.0,54.0,24.0,85.0,1350.0,51.9,B,0.5,https://www.madocumentationreparation.com,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,Proline ,47.0,29.0,4.0,5.0
TDLR P66 BS IT,1151.0,FREE_STANDING,"[2025, 2, 12]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,1151.0,52.0,C,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,WHIRLPOOL,42.0,26.0,4.0,4.9
F4NA10S7NWK,1350.0,FREE_STANDING,"[2025, 2, 11]",1350.0,7.0,B,32.0,24.0,53.0,24.0,85.0,1350.0,51.9,B,0.5,https://www.lg.com/global/ajax/common_manual,162.0,162.0,0.447,74.0,45.0,A,208.0,60.0,LG Electronics,45.0,29.0,4.0,5.0
BTWDS 6261 FR,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,1151.0,52.0,C,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,INDESIT,42.0,26.0,4.0,4.9
PR149MKINVA,1350.0,FREE_STANDING,"[2025, 2, 11]",1350.0,9.0,B,32.0,23.0,53.0,60.0,85.0,1350.0,51.9,A,0.5,www.koncar-ka.hr,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,KONČAR,49.0,29.0,4.0,5.0
WMTG 626BS IT,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,1151.0,52.0,C,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,HOTPOINT/ARISTON,42.0,26.0,4.0,4.9
