Method,TN,FP,FN,TP,Precision,Recall,F1-score,AUC-ROC,Jaccard Similarity
IQR,131,5,6301,11984,0.999582951038452,0.6554006015859994,0.7917024509480082,0.8093179478518232,0.6552214324767632
Isolation Forest,91,45,638,17647,0.9974564775039566,0.96510801203172,0.9810156488867888,0.8171128295452719,0.9627386797599563
Local Outlier Factor,109,27,2569,15716,0.9982849520421775,0.8595023243095433,0.9237098859762549,0.8304864562724187,0.8582350371341197
